recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,169,1954,rp3beta,tfidf,0.004923795028234596
ItemKNNCFRecommender,97,1203,rp3beta,tfidf,0.004985968050787523
ItemKNNCFRecommender,155,419,rp3beta,tfidf,0.004899246266582047
ItemKNNCFRecommender,37,750,rp3beta,bm25plus,0.00491612587791268
ItemKNNCFRecommender,41,1854,rp3beta,tfidf,0.0050170259730921846
ItemKNNCFRecommender,30,1646,rp3beta,tfidf,0.0050041064228179555
ItemKNNCFRecommender,25,1764,rp3beta,tfidf,0.004986460063595428
ItemKNNCFRecommender,53,1551,rp3beta,tfidf,0.005035453640998243
ItemKNNCFRecommender,33,519,rp3beta,bm25plus,0.004880800811765363
ItemKNNCFRecommender,14,920,rp3beta,tfidf,0.004885832962985109
ItemKNNCFRecommender,131,1836,rp3beta,tfidf,0.004978990890218023
ItemKNNCFRecommender,133,1875,rp3beta,tfidf,0.004978374873791599
ItemKNNCFRecommender,34,134,rp3beta,bm25plus,0.004732852872128189
ItemKNNCFRecommender,191,1494,rp3beta,tfidf,0.004908161606967244
ItemKNNCFRecommender,24,2000,rp3beta,tfidf,0.004984704041466549
ItemKNNCFRecommender,122,1549,rp3beta,tfidf,0.00499095020475038
ItemKNNCFRecommender,21,1290,rp3beta,bm25plus,0.0049304899718121764
ItemKNNCFRecommender,39,551,rp3beta,tfidf,0.004897968262147787
ItemKNNCFRecommender,44,779,rp3beta,tfidf,0.004996233912111874
ItemKNNCFRecommender,54,1013,rp3beta,tfidf,0.005009678892228558
ItemKNNCFRecommender,185,1187,rp3beta,bm25plus,0.004858913144880191
ItemKNNCFRecommender,86,552,rp3beta,tfidf,0.00497019423837575
ItemKNNCFRecommender,186,1401,rp3beta,bm25plus,0.004862199270342475
ItemKNNCFRecommender,63,1857,rp3beta,tfidf,0.005027917459882126
ItemKNNCFRecommender,161,242,rp3beta,bm25plus,0.00483593275807056
ItemKNNCFRecommender,111,1059,rp3beta,tfidf,0.004990415468703353
ItemKNNCFRecommender,90,1153,rp3beta,tfidf,0.005000159304147887
ItemKNNCFRecommender,180,453,rp3beta,bm25plus,0.004824449858091945
ItemKNNCFRecommender,127,906,rp3beta,tfidf,0.0049592790549167235
ItemKNNCFRecommender,160,1734,rp3beta,bm25plus,0.00489095911627403
ItemKNNCFRecommender,40,1041,rp3beta,tfidf,0.005006526438257942
ItemKNNCFRecommender,99,1469,rp3beta,bm25plus,0.0049625505820628905
ItemKNNCFRecommender,136,976,rp3beta,bm25plus,0.004894522095769727
ItemKNNCFRecommender,42,1097,rp3beta,tfidf,0.005017098161423394
ItemKNNCFRecommender,38,1488,rp3beta,bm25plus,0.005001796490225232
ItemKNNCFRecommender,96,931,rp3beta,tfidf,0.005015964740050247
ItemKNNCFRecommender,29,926,rp3beta,tfidf,0.00495278255070545
ItemKNNCFRecommender,78,238,rp3beta,bm25plus,0.004845469928447245
ItemKNNCFRecommender,109,231,rp3beta,bm25plus,0.004844848542220116
ItemKNNCFRecommender,102,1899,rp3beta,tfidf,0.0050088181560216
ItemKNNCFRecommender,52,1290,rp3beta,tfidf,0.005040093486929118
ItemKNNCFRecommender,61,1870,rp3beta,bm25plus,0.005003225285166658
ItemKNNCFRecommender,144,960,rp3beta,bm25plus,0.004882451922620642
ItemKNNCFRecommender,110,631,rp3beta,bm25plus,0.004903519842581928
ItemKNNCFRecommender,119,1271,rp3beta,tfidf,0.00498052872603014
ItemKNNCFRecommender,200,878,rp3beta,tfidf,0.004883280691534915
ItemKNNCFRecommender,142,1804,rp3beta,tfidf,0.004965543933702515
ItemKNNCFRecommender,67,759,rp3beta,bm25plus,0.004949116760311783
